stt,keyword,cluster,intent,priority,owner_url,baseline_date,measurement_status,gsc_clicks_28d,gsc_impressions_28d,gsc_ctr,gsc_average_position,observed_serp_rank,index_status,local_pack_status,note
1,vòng tay handmade,Vòng tay handmade,Thương mại,Rất cao,https://mushroomie.io.vn/san-pham?category=vong-tay,2026-07-17,pending_authenticated_data,,,,,,,,Từ khóa trọng tâm của toàn bộ cụm vòng tay
2,vòng tay,Vòng tay handmade,Thương mại,Rất cao,https://mushroomie.io.vn/san-pham?category=vong-tay,2026-07-17,pending_authenticated_data,,,,,,,,"Từ khóa rộng, cần kết hợp nội dung và sản phẩm thực tế"
3,vòng tay nữ,Vòng tay handmade,Thương mại,Rất cao,https://mushroomie.io.vn/san-pham?category=vong-tay,2026-07-17,pending_authenticated_data,,,,,,,,Ưu tiên mẫu dễ phối đồ và quà tặng
4,vòng tay handmade nữ,Vòng tay handmade,Thương mại,Cao,https://mushroomie.io.vn/san-pham?category=vong-tay,2026-07-17,pending_authenticated_data,,,,,,,,Biến thể sát sản phẩm Mushroomie
5,vòng tay custom,Vòng tay cá nhân hóa,Thương mại,Rất cao,https://mushroomie.io.vn/san-pham?category=vong-tay,2026-07-17,pending_authenticated_data,,,,,,,,"Nhấn mạnh chọn màu, charm và kiểu dáng"
6,vòng tay theo yêu cầu,Vòng tay cá nhân hóa,Thương mại,Cao,https://mushroomie.io.vn/san-pham?category=vong-tay,2026-07-17,pending_authenticated_data,,,,,,,,Từ khóa có ý định đặt hàng cao
7,vòng tay hạt cườm,Vòng tay theo chất liệu,Thương mại,Cao,https://mushroomie.io.vn/san-pham?category=vong-tay,2026-07-17,pending_authenticated_data,,,,,,,,Phù hợp danh mục sản phẩm chủ lực
8,vòng tay charm,Vòng tay theo thiết kế,Thương mại,Cao,https://mushroomie.io.vn/san-pham?category=vong-tay,2026-07-17,pending_authenticated_data,,,,,,,,Liên kết chéo với trang charm handmade
9,vòng tay đôi,Vòng tay theo đối tượng,Thương mại,Cao,https://mushroomie.io.vn/san-pham?category=vong-tay,2026-07-17,pending_authenticated_data,,,,,,,,Phù hợp quà tặng người yêu và bạn thân
10,vòng tay tình bạn,Vòng tay theo đối tượng,Thương mại,Cao,https://mushroomie.io.vn/san-pham?category=vong-tay,2026-07-17,pending_authenticated_data,,,,,,,,Tập trung giá trị cảm xúc và kỷ niệm
11,vòng tay bạn thân,Vòng tay theo đối tượng,Thương mại,Cao,https://mushroomie.io.vn/san-pham?category=vong-tay,2026-07-17,pending_authenticated_data,,,,,,,,Có thể gom cùng cụm vòng tay tình bạn
12,vòng tay handmade cute,Vòng tay theo phong cách,Thương mại,Khá cao,https://mushroomie.io.vn/san-pham?category=vong-tay,2026-07-17,pending_authenticated_data,,,,,,,,"Dùng tự nhiên, tránh lạm dụng từ cute"
13,vòng tay handmade giá rẻ,Vòng tay theo giá,Thương mại,Khá cao,https://mushroomie.io.vn/san-pham?category=vong-tay,2026-07-17,pending_authenticated_data,,,,,,,,Không tạo cam kết giá nếu dữ liệu sản phẩm không phù hợp
